date,type,price,log_price
2016/11/16,GDEA,10.79,2.378619779
2016/11/17,GDEA,10.49,2.350422422
2016/11/18,GDEA,10.6,2.360854001
2016/11/21,GDEA,10.13,2.315501318
2016/11/22,GDEA,10.26,2.32825284
2016/11/23,GDEA,10.62,2.362739016
2016/11/24,GDEA,10.88,2.386926241
2016/11/25,GDEA,11.21,2.416806237
2016/11/28,GDEA,11.33,2.427454075
2016/11/29,GDEA,12.45,2.521720623
2016/11/30,GDEA,13.67,2.615203651
2016/12/1,GDEA,13.73,2.61958322
2016/12/2,GDEA,15,2.708050201
2016/12/5,GDEA,14,2.63905733
2016/12/6,GDEA,12.6,2.533696814
2016/12/7,GDEA,12.59,2.532902848
2016/12/8,GDEA,11.56,2.447550863
2016/12/9,GDEA,11.25,2.420368129
2016/12/12,GDEA,12.3,2.509599262
2016/12/13,GDEA,11.2,2.415913778
2016/12/14,GDEA,10.88,2.386926241
2016/12/15,GDEA,11.31,2.42568729
2016/12/16,GDEA,11.82,2.469793012
2016/12/19,GDEA,12.05,2.48906466
2016/12/20,GDEA,12.06,2.489894191
2016/12/21,GDEA,12.44,2.520917087
2016/12/22,GDEA,12.31,2.51041194
2016/12/23,GDEA,12.49,2.524928324
2016/12/26,GDEA,13.74,2.620311287
2016/12/27,GDEA,14.61,2.681706226
2016/12/28,GDEA,13.34,2.59076704
2016/12/29,GDEA,13.78,2.623218266
2016/12/30,GDEA,14.27,2.658159431
2017/1/3,GDEA,15.27,2.725890119
2017/1/4,GDEA,15.93,2.768204124
2017/1/5,GDEA,16.59,2.808800104
2017/1/6,GDEA,17.08,2.837908188
2017/1/9,GDEA,17.73,2.87525812
2017/1/10,GDEA,17.75,2.876385516
2017/1/11,GDEA,18.26,2.904712875
2017/1/12,GDEA,17.65,2.870735783
2017/1/13,GDEA,18.29,2.906354462
2017/1/16,GDEA,18.1,2.895911938
2017/1/17,GDEA,16.52,2.804571768
2017/1/18,GDEA,18.08,2.894806355
2017/1/19,GDEA,17.81,2.879760097
2017/1/20,GDEA,18.36,2.910174385
2017/1/23,GDEA,17.89,2.884241898
2017/1/24,GDEA,17.64,2.870169051
2017/1/25,GDEA,17.77,2.877511642
2017/2/3,GDEA,18,2.890371758
2017/2/6,GDEA,16.3,2.791165108
2017/2/7,GDEA,15.3,2.727852828
2017/2/8,GDEA,13.83,2.626840146
2017/2/9,GDEA,12.87,2.554899022
2017/2/10,GDEA,13.34,2.59076704
2017/2/13,GDEA,13.64,2.613006652
2017/2/14,GDEA,14.02,2.640484882
2017/2/15,GDEA,15.25,2.724579503
2017/2/16,GDEA,15.2,2.721295428
2017/2/17,GDEA,14.96,2.705379973
2017/2/20,GDEA,14.91,2.702032129
2017/2/21,GDEA,14.86,2.698673039
2017/2/22,GDEA,14.27,2.658159431
2017/2/23,GDEA,14.81,2.695302628
2017/2/24,GDEA,14.7,2.687847494
2017/2/27,GDEA,14.7,2.687847494
2017/2/28,GDEA,14.63,2.683074215
2017/3/1,GDEA,15,2.708050201
2017/3/2,GDEA,15.3,2.727852828
2017/3/3,GDEA,15.07,2.712706013
2017/3/6,GDEA,15.02,2.709382646
2017/3/7,GDEA,15.09,2.714032273
2017/3/8,GDEA,14.99,2.707383312
2017/3/9,GDEA,15.07,2.712706013
2017/3/10,GDEA,14.65,2.684440335
2017/3/13,GDEA,14.84,2.697326238
2017/3/14,GDEA,14.83,2.696652156
2017/3/15,GDEA,13.62,2.611539301
2017/3/16,GDEA,14.98,2.706715978
2017/3/17,GDEA,15.51,2.741484977
2017/3/20,GDEA,15.26,2.725235026
2017/3/21,GDEA,15.54,2.743417345
2017/3/22,GDEA,15.31,2.72850621
2017/3/23,GDEA,15.69,2.753023567
2017/3/24,GDEA,15.55,2.744060639
2017/3/27,GDEA,15.63,2.749192144
2017/3/28,GDEA,15.72,2.754933787
2017/3/29,GDEA,15.54,2.743417345
2017/3/30,GDEA,15.54,2.743417345
2017/3/31,GDEA,15.37,2.732417558
2017/4/5,GDEA,15.34,2.730463796
2017/4/6,GDEA,15.32,2.729159164
2017/4/7,GDEA,15.47,2.738902665
2017/4/10,GDEA,15.35,2.731115474
2017/4/11,GDEA,15.12,2.716018371
2017/4/12,GDEA,15.01,2.708716646
2017/4/13,GDEA,15.54,2.743417345
2017/4/14,GDEA,15.18,2.719978772
2017/4/17,GDEA,15,2.708050201
2017/4/18,GDEA,15.96,2.770085592
2017/4/19,GDEA,14.58,2.679650727
2017/4/20,GDEA,14.43,2.669309373
2017/4/21,GDEA,14.12,2.647592232
2017/4/24,GDEA,14.92,2.702702595
2017/4/25,GDEA,14.46,2.671386217
2017/4/26,GDEA,13.99,2.638342789
2017/4/27,GDEA,14.01,2.63977136
2017/4/28,GDEA,14.56,2.678278043
2017/5/2,GDEA,14.77,2.692598097
2017/5/3,GDEA,15.36,2.731766728
2017/5/4,GDEA,14.21,2.653945942
2017/5/5,GDEA,14.1,2.646174797
2017/5/8,GDEA,14.31,2.660958594
2017/5/9,GDEA,14.68,2.686486023
2017/5/10,GDEA,14.7,2.687847494
2017/5/11,GDEA,14.78,2.693274916
2017/5/12,GDEA,14.42,2.668616132
2017/5/15,GDEA,15.47,2.738902665
2017/5/16,GDEA,14.26,2.657458415
2017/5/17,GDEA,14.39,2.666533521
2017/5/18,GDEA,15.38,2.733067964
2017/5/19,GDEA,16.23,2.786861382
2017/5/22,GDEA,17.39,2.855895328
2017/5/23,GDEA,18.9,2.939161922
2017/5/24,GDEA,17.01,2.833801406
2017/5/25,GDEA,15.31,2.72850621
2017/5/26,GDEA,14.52,2.675527009
2017/5/31,GDEA,13.98,2.637627737
2017/6/1,GDEA,13.66,2.614471854
2017/6/2,GDEA,13.94,2.634762405
2017/6/5,GDEA,14.07,2.644044871
2017/6/6,GDEA,13.72,2.618854622
2017/6/7,GDEA,13.5,2.602689685
2017/6/8,GDEA,14.27,2.658159431
2017/6/9,GDEA,13.39,2.59450816
2017/6/12,GDEA,13.5,2.602689685
2017/6/13,GDEA,13.67,2.615203651
2017/6/14,GDEA,13.48,2.601207105
2017/6/15,GDEA,13.47,2.60046499
2017/6/16,GDEA,12.84,2.552565298
2017/6/19,GDEA,12.63,2.536074936
2017/6/20,GDEA,13.09,2.57184858
2017/6/21,GDEA,12.87,2.554899022
2017/6/22,GDEA,12.76,2.546315278
2017/6/23,GDEA,14,2.63905733
2017/6/26,GDEA,14.76,2.691920819
2017/6/27,GDEA,14.88,2.700018029
2017/6/28,GDEA,15.69,2.753023567
2017/6/29,GDEA,14.12,2.647592232
2017/6/30,GDEA,12.85,2.553343811
2017/7/3,GDEA,12.99,2.564179831
2017/7/4,GDEA,11.88,2.474856314
2017/7/5,GDEA,11.11,2.407845604
2017/7/6,GDEA,12.22,2.503073954
2017/7/7,GDEA,12,2.48490665
2017/7/10,GDEA,12.38,2.516082267
2017/7/11,GDEA,12.24,2.504709277
2017/7/12,GDEA,12.04,2.48823444
2017/7/13,GDEA,11.66,2.456164181
2017/7/17,GDEA,12.04,2.48823444
2017/7/19,GDEA,12.59,2.532902848
2017/7/20,GDEA,12.13,2.495681723
2017/7/21,GDEA,11.08,2.405141681
2017/7/24,GDEA,11.06,2.403334996
2017/7/25,GDEA,12.1,2.493205453
2017/7/26,GDEA,12.72,2.543175558
2017/7/27,GDEA,12.51,2.526528324
2017/7/28,GDEA,11.64,2.454447442
2017/7/31,GDEA,11.91,2.477378383
2017/8/1,GDEA,12.98,2.563409711
2017/8/2,GDEA,12.24,2.504709277
2017/8/3,GDEA,11.05,2.402430428
2017/8/4,GDEA,12.16,2.498151877
2017/8/7,GDEA,12.51,2.526528324
2017/8/8,GDEA,11.99,2.484072969
2017/8/9,GDEA,12.09,2.492378665
